title,channel,video_url,views,likes,comments,publishedAt,duration
Ils ont volé 17 000 000 € en faisant n'importe quoi...,SQUEEZIE,https://www.youtube.com/watch?v=CQau_FmoyWE,1388502,114825,1337,2025-04-20T16:25:04Z,PT28M20S
Qui a le plus de chance d'avoir un casier judiciaire ?,SQUEEZIE,https://www.youtube.com/watch?v=e0tUoV1yGO0,80827,2087,25,2025-04-17T16:01:03Z,PT1M7S
Squeezie est le plus RACISTE ?,SQUEEZIE,https://www.youtube.com/watch?v=k5IC6qWFN2c,146904,3934,22,2025-04-15T16:01:13Z,PT1M11S
Le bodycount de Squeezie... 🤣,SQUEEZIE,https://www.youtube.com/watch?v=FiejS0EkLiA,220599,5365,18,2025-04-13T16:00:31Z,PT1M18S
"Des inconnus nous jugent #3... (ft Mister V, Seb, Freddy Gladieux, Théo Juice)",SQUEEZIE,https://www.youtube.com/watch?v=zSschbRxYc4,6411958,313813,3132,2025-04-12T17:22:35Z,PT55M50S
Squeezie organise le pire date au tribunal,SQUEEZIE,https://www.youtube.com/watch?v=GfHaYVgOTwA,271171,6634,26,2025-04-01T17:00:24Z,PT1M12S
La vérité sur Squeezie... à méditer,SQUEEZIE,https://www.youtube.com/watch?v=qTvFb_5HDiE,868037,26521,61,2025-04-01T05:00:51Z,PT1M19S
"On confronte nos pires haters IRL (ft Maxime Biaggi, Billy, Locklear)",SQUEEZIE,https://www.youtube.com/watch?v=wchPFmaTpa8,6664739,327083,4333,2025-03-30T16:15:13Z,PT51M13S
Squeezie réalise le rêve de Zack,SQUEEZIE,https://www.youtube.com/watch?v=kbJmCj9xLNk,116796,7643,66,2025-03-25T17:00:52Z,PT1M9S
On a réalisé le rêve de ces enfants 🌈,SQUEEZIE,https://www.youtube.com/watch?v=vUqwSRDN_Do,5156738,514057,9623,2025-03-23T17:32:12Z,PT38M39S
Elle a sacrifié sa famille pour briller…,SQUEEZIE,https://www.youtube.com/watch?v=lC6niUlJhQU,6129478,371576,4654,2025-03-12T18:25:46Z,PT27M2S
La connexion ratée entre Jonathan Cohen et Squeezie,SQUEEZIE,https://www.youtube.com/watch?v=UJNcqmNG9xk,431073,20673,25,2025-03-03T17:00:38Z,PT1M4S
Jonathan Cohen core ✨,SQUEEZIE,https://www.youtube.com/watch?v=iuUCJIINBAo,232303,18150,34,2025-03-02T17:07:19Z,PT1M2S
"Le pire duo finit en prison #4 (ft Jonathan Cohen, Orelsan & Clément Cotentin)",SQUEEZIE,https://www.youtube.com/watch?v=jZKMyrz3_Is,7731595,372272,3243,2025-03-02T12:22:45Z,PT46M15S
Le vrai salaire de Squeezie ?! 🤯,SQUEEZIE,https://www.youtube.com/watch?v=4Qo6MK4-QlY,2299428,114266,443,2025-02-18T17:00:08Z,PT20S
La vérité sur Gotaga... 😔,SQUEEZIE,https://www.youtube.com/watch?v=e7Cxt_jqlAI,402212,20454,116,2025-02-18T05:00:27Z,PT33S
le plus grand fantasme de Squeezie 😂,SQUEEZIE,https://www.youtube.com/watch?v=X3OrieJGkWY,86512,6100,53,2025-02-16T17:00:38Z,PT1M11S
Inoxtag prend une Levrette ?,SQUEEZIE,https://www.youtube.com/watch?v=CA7OayTVYe0,1284437,52637,95,2025-02-15T17:40:58Z,PT27S
"LE PIRE DATE #4 (ft Inoxtag, Amine, Gotaga)",SQUEEZIE,https://www.youtube.com/watch?v=U0TMAvoPPL8,13519299,635077,9270,2025-02-14T22:36:18Z,PT58M1S
Il a fabriqué un jetpack et ça a viré au cauchemar...,SQUEEZIE,https://www.youtube.com/watch?v=rZNWlKFchxM,4412792,255585,2580,2025-02-11T18:32:37Z,PT25M2S
Les tatouages cachés de Joyca et Natoo,SQUEEZIE,https://www.youtube.com/watch?v=VSpU2tQFT3U,110822,6445,21,2025-02-08T06:00:18Z,PT1M24S
Squeezie est un crado ? 🤢,SQUEEZIE,https://www.youtube.com/watch?v=GF1HIJ8fsm8,199352,14021,107,2025-02-03T18:00:19Z,PT1M5S
Le mariage de Squeezie,SQUEEZIE,https://www.youtube.com/watch?v=gUK8F2p-sew,102171,7055,35,2025-02-02T17:00:44Z,PT1M6S
Joyca pète un cable en pleine vidéo 🤣,SQUEEZIE,https://www.youtube.com/watch?v=7fwWeHjS7wk,443258,35734,132,2025-02-01T15:18:46Z,PT1M
"Des inconnus nous jugent #2... (ft Joyca, Maxime Biaggi, Baghera, Natoo)",SQUEEZIE,https://www.youtube.com/watch?v=VeBmwUr-HH0,8005371,406012,5426,2025-02-01T10:40:56Z,PT47M8S
Alison et Jérôme draguent les imposteurs,SQUEEZIE,https://www.youtube.com/watch?v=d07LHfKQy8w,988882,52089,95,2025-01-01T18:00:24Z,PT1M27S
Il a arnaqué tous les riches d'Hollywood avec du vin...,SQUEEZIE,https://www.youtube.com/watch?v=3foLMekKtWM,6065422,341799,3321,2024-12-29T15:10:42Z,PT23M5S
Le plus grand retournement de situation,SQUEEZIE,https://www.youtube.com/watch?v=ooTMKc43JQ8,521622,36424,59,2024-12-28T06:00:26Z,PT1M36S
Le mariage de Squeezie,SQUEEZIE,https://www.youtube.com/watch?v=xDyROtza1jw,253340,19834,30,2024-12-26T18:00:38Z,PT1M8S
Gotaga live en slip ?,SQUEEZIE,https://www.youtube.com/watch?v=9-DSYNqfVgU,56222,3946,18,2024-12-24T18:00:09Z,PT50S
Squeezie se moque d'un égyptologue,SQUEEZIE,https://www.youtube.com/watch?v=h7CXgwT64Zc,142701,8417,21,2024-12-24T06:00:24Z,PT1M1S
Le père de Léna veut poser en slip,SQUEEZIE,https://www.youtube.com/watch?v=LZP4pTCtavo,58529,4732,15,2024-12-23T06:00:10Z,PT1M10S
QUI EST L'IMPOSTEUR ? (ft Jérôme Commandeur & Alison Wheeler),SQUEEZIE,https://www.youtube.com/watch?v=5AhEm7pyc74,10875002,433896,4819,2024-12-22T17:23:14Z,PT49M14S
Squeezie se fait recaler en boîte,SQUEEZIE,https://www.youtube.com/watch?v=_2nC3WzZ4yw,365370,22044,64,2024-12-20T13:03:06Z,PT57S
"4 humains vs 1 IA : le perdant va tout perdre... (ft Joyca, Léna, Gotaga)",SQUEEZIE,https://www.youtube.com/watch?v=I7H8H_UzTBY,6337657,316084,2606,2024-12-19T17:47:25Z,PT40M58S
Squeezie fait une blague raciste ?,SQUEEZIE,https://www.youtube.com/watch?v=J0Kwl2cGifg,269472,14556,56,2024-12-05T17:00:19Z,PT1M24S
Le bodycount de Squeezie,SQUEEZIE,https://www.youtube.com/watch?v=SEU51qfgbnQ,691708,37332,78,2024-12-03T17:00:32Z,PT1M17S
Squeezie dévoile son objet le plus cher 😱,SQUEEZIE,https://www.youtube.com/watch?v=ZyDHAUW77_I,984548,75645,143,2024-12-01T18:00:31Z,PT52S
"Des inconnus nous jugent... (ft Djilsi, Léna, Theodort, Maghla)",SQUEEZIE,https://www.youtube.com/watch?v=HqqisGjdPvQ,12129659,542585,6302,2024-11-30T18:25:26Z,PT48M30S
Léon Marchand rencontre Jumbo,SQUEEZIE,https://www.youtube.com/watch?v=q0E27MXmvNM,457178,34940,44,2024-11-21T18:00:28Z,PT12S
L'ancien prof de Squeezie,SQUEEZIE,https://www.youtube.com/watch?v=OjPnSe8NBIM,931594,80272,157,2024-11-19T18:00:21Z,PT35S
Léon Marchand se lance sur YouTube ?,SQUEEZIE,https://www.youtube.com/watch?v=isImFWHMUlE,114133,6445,20,2024-11-17T18:00:22Z,PT30S
Se raser pour nager plus vite ?,SQUEEZIE,https://www.youtube.com/watch?v=ReH237Zbkzs,1524941,111554,101,2024-11-15T11:00:30Z,PT40S
Léon Marchand et Squeezie en chaussettes (ft Freddy Gladieux & Oscar) - Micro Chaussettes #2,SQUEEZIE,https://www.youtube.com/watch?v=3DFUYS4mPKA,3278288,146549,1803,2024-11-14T18:09:34Z,PT1H8M1S
La daronne d'Amine est actrice ?,SQUEEZIE,https://www.youtube.com/watch?v=YSjncCUUGQM,370774,29904,76,2024-11-04T09:08:36Z,PT44S
